"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","83.191","0.193"
"2","83.191","0.395"
"3","83.191","0.778"
"4","83.195","1.557"
"5","83.195","0.593"
"6","84.07","1.367"
"7","84.07","0.972"
"8","84.074","1.948"
"9","84.078","2.334"
"10","84.078","0.974"
"11","84.078","2.371"
"12","84.328","0.974"
"13","84.328","1.943"
"14","84.328","0.976"
"15","84.328","0.78"
"16","84.723","1.186"
"17","84.723","1.167"
"18","84.723","1.365"
"19","84.723","2.541"
"20","84.723","1.952"
"21","85.723","0.778"
"22","85.723","2.143"
"23","85.723","0.197"
"24","85.723","1.753"
"25","85.723","3.127"
"26","85.973","2.723"
"27","85.973","1.366"
"28","85.973","2.729"
"29","85.973","0.976"
"30","86.973","1.782"
