"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","703.066","4.851"
"2","703.066","3.355"
"3","703.066","2.328"
"4","703.066","6.303"
"5","703.066","4.461"
"6","703.066","2.334"
"7","703.051","4.729"
"8","703.051","3.496"
"9","703.051","4.915"
"10","703.051","5.233"
"11","703.051","3.899"
"12","703.051","6.105"
"13","703.051","3.107"
"14","703.051","6.492"
"15","703.051","4.071"
"16","703.051","3.878"
"17","703.051","4.341"
"18","703.051","2.917"
"19","703.051","5.931"
"20","703.051","5.229"
"21","703.051","4.678"
"22","703.051","5.124"
"23","703.051","3.099"
"24","703.051","5.035"
"25","703.051","3.366"
"26","703.051","3.478"
"27","703.051","5.328"
"28","703.051","3.298"
"29","703.051","4.717"
"30","703.051","1.56"
