"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","77.473","3.087"
"2","78.973","4.914"
"3","80.098","1.747"
"4","80.848","3.94"
"5","81.473","2.131"
"6","81.598","4.524"
"7","81.598","5.244"
"8","81.723","2.553"
"9","81.848","3.891"
"10","81.852","2.561"
"11","81.977","4.674"
"12","82.102","2.362"
"13","82.102","3.501"
"14","82.227","4.071"
"15","82.227","2.331"
"16","82.352","5.517"
"17","82.352","2.325"
"18","82.477","4.917"
"19","82.602","3.114"
"20","82.602","3.943"
"21","82.727","5.244"
"22","82.727","2.325"
"23","82.852","3.763"
"24","82.852","4.065"
"25","82.977","2.568"
"26","83.102","5.418"
"27","83.227","2.725"
"28","83.227","3.717"
"29","83.352","4.086"
"30","83.352","2.967"
