❯  Starting publish benchmark, connections: 10, req interval: 10ms, message interval: 20ms
...  [0/10] - Connecting...
...  [0/10] - Connecting...
√  [1/10] - Connected
√  [2/10] - Connected
...  [2/10] - Connecting...
√  [3/10] - Connected
...  [3/10] - Connecting...
√  [4/10] - Connected
...  [4/10] - Connecting...
√  [5/10] - Connected
...  [5/10] - Connecting...
√  [6/10] - Connected
...  [6/10] - Connecting...
√  [7/10] - Connected
...  [7/10] - Connecting...
√  [8/10] - Connected
...  [8/10] - Connecting...
√  [9/10] - Connected
...  [9/10] - Connecting...
√  [10/10] - Connected
√  Created 10 connections in 0.16s
Published total: 326, message rate: 326/s
Published total: 656, message rate: 330/s
Published total: 986, message rate: 330/s
Published total: 1306, message rate: 320/s
Published total: 1636, message rate: 330/s
Published total: 1956, message rate: 320/s
Published total: 2286, message rate: 330/s
Published total: 2606, message rate: 320/s
Published total: 2936, message rate: 330/s
Published total: 3256, message rate: 320/s
Published total: 3586, message rate: 330/s
Published total: 3906, message rate: 320/s
Published total: 4236, message rate: 330/s
Published total: 4556, message rate: 320/s
Published total: 4886, message rate: 330/s
Published total: 5206, message rate: 320/s
Published total: 5536, message rate: 330/s
Published total: 5866, message rate: 330/s
Published total: 6186, message rate: 320/s
Published total: 6516, message rate: 330/s
Published total: 6836, message rate: 320/s
Published total: 7166, message rate: 330/s
Published total: 7486, message rate: 320/s
Published total: 7816, message rate: 330/s
Published total: 8136, message rate: 320/s
Published total: 8466, message rate: 330/s
Published total: 8786, message rate: 320/s
Published total: 9116, message rate: 330/s
Published total: 9436, message rate: 320/s
Published total: 9766, message rate: 330/s
Published total: 10086, message rate: 320/s
Published total: 10416, message rate: 330/s
Published total: 10736, message rate: 320/s
Published total: 11066, message rate: 330/s
Published total: 11386, message rate: 320/s
Published total: 11716, message rate: 330/s
Published total: 12036, message rate: 320/s
Published total: 12366, message rate: 330/s
Published total: 12686, message rate: 320/s
Published total: 13016, message rate: 330/s
Published total: 13336, message rate: 320/s
Published total: 13666, message rate: 330/s
Published total: 13986, message rate: 320/s
Published total: 14316, message rate: 330/s
Published total: 14636, message rate: 320/s
Published total: 14966, message rate: 330/s
Published total: 15286, message rate: 320/s
Published total: 15616, message rate: 330/s
Published total: 15936, message rate: 320/s
Published total: 16266, message rate: 330/s
Published total: 16586, message rate: 320/s
Published total: 16916, message rate: 330/s
Published total: 17236, message rate: 320/s
Published total: 17566, message rate: 330/s
Published total: 17886, message rate: 320/s
Published total: 18216, message rate: 330/s
Published total: 18536, message rate: 320/s
Published total: 18866, message rate: 330/s
Published total: 19186, message rate: 320/s
Published total: 19516, message rate: 330/s
Published total: 19836, message rate: 320/s
Published total: 20166, message rate: 330/s
Published total: 20486, message rate: 320/s
Published total: 20816, message rate: 330/s
Published total: 21136, message rate: 320/s
Published total: 21466, message rate: 330/s
Published total: 21786, message rate: 320/s
Published total: 22116, message rate: 330/s
Published total: 22436, message rate: 320/s
Published total: 22766, message rate: 330/s
Published total: 23086, message rate: 320/s
Published total: 23416, message rate: 330/s
Published total: 23736, message rate: 320/s
Published total: 24066, message rate: 330/s
Published total: 24386, message rate: 320/s
Published total: 24716, message rate: 330/s
