❯  Starting publish benchmark, connections: 1, req interval: 10ms, message interval: 20ms
...  [0/1] - Connecting...
√  [1/1] - Connected
√  Created 1 connections in 0.018s
Published total: 32, message rate: 32/s
Published total: 65, message rate: 33/s
Published total: 97, message rate: 32/s
Published total: 130, message rate: 33/s
Published total: 162, message rate: 32/s
Published total: 195, message rate: 33/s
Published total: 227, message rate: 32/s
Published total: 260, message rate: 33/s
Published total: 292, message rate: 32/s
Published total: 325, message rate: 33/s
Published total: 357, message rate: 32/s
Published total: 390, message rate: 33/s
Published total: 422, message rate: 32/s
Published total: 455, message rate: 33/s
Published total: 487, message rate: 32/s
Published total: 520, message rate: 33/s
Published total: 554, message rate: 34/s
Published total: 587, message rate: 33/s
Published total: 619, message rate: 32/s
Published total: 652, message rate: 33/s
Published total: 684, message rate: 32/s
Published total: 717, message rate: 33/s
Published total: 749, message rate: 32/s
Published total: 782, message rate: 33/s
Published total: 815, message rate: 33/s
Published total: 847, message rate: 32/s
Published total: 880, message rate: 33/s
Published total: 912, message rate: 32/s
Published total: 945, message rate: 33/s
Published total: 977, message rate: 32/s
Published total: 1010, message rate: 33/s
Published total: 1042, message rate: 32/s
Published total: 1075, message rate: 33/s
Published total: 1107, message rate: 32/s
Published total: 1140, message rate: 33/s
Published total: 1172, message rate: 32/s
Published total: 1205, message rate: 33/s
Published total: 1238, message rate: 33/s
Published total: 1270, message rate: 32/s
Published total: 1303, message rate: 33/s
Published total: 1335, message rate: 32/s
Published total: 1368, message rate: 33/s
Published total: 1400, message rate: 32/s
Published total: 1433, message rate: 33/s
Published total: 1465, message rate: 32/s
Published total: 1498, message rate: 33/s
Published total: 1530, message rate: 32/s
Published total: 1563, message rate: 33/s
Published total: 1595, message rate: 32/s
Published total: 1628, message rate: 33/s
Published total: 1660, message rate: 32/s
Published total: 1693, message rate: 33/s
Published total: 1725, message rate: 32/s
Published total: 1758, message rate: 33/s
Published total: 1790, message rate: 32/s
Published total: 1823, message rate: 33/s
Published total: 1855, message rate: 32/s
Published total: 1888, message rate: 33/s
Published total: 1921, message rate: 33/s
Published total: 1953, message rate: 32/s
Published total: 1986, message rate: 33/s
Published total: 2019, message rate: 33/s
Published total: 2051, message rate: 32/s
Published total: 2084, message rate: 33/s
Published total: 2116, message rate: 32/s
Published total: 2149, message rate: 33/s
Published total: 2181, message rate: 32/s
Published total: 2214, message rate: 33/s
Published total: 2246, message rate: 32/s
Published total: 2279, message rate: 33/s
Published total: 2311, message rate: 32/s
Published total: 2344, message rate: 33/s
Published total: 2376, message rate: 32/s
Published total: 2409, message rate: 33/s
Published total: 2441, message rate: 32/s
Published total: 2474, message rate: 33/s
Published total: 2507, message rate: 33/s
Published total: 2539, message rate: 32/s
Published total: 2572, message rate: 33/s
Published total: 2604, message rate: 32/s
Published total: 2637, message rate: 33/s
Published total: 2669, message rate: 32/s
Published total: 2702, message rate: 33/s
Published total: 2734, message rate: 32/s
Published total: 2767, message rate: 33/s
Published total: 2799, message rate: 32/s
Published total: 2832, message rate: 33/s
Published total: 2864, message rate: 32/s
Published total: 2897, message rate: 33/s
Published total: 2929, message rate: 32/s
Published total: 2962, message rate: 33/s
Published total: 2994, message rate: 32/s
Published total: 3027, message rate: 33/s
Published total: 3059, message rate: 32/s
Published total: 3092, message rate: 33/s
Published total: 3124, message rate: 32/s
Published total: 3157, message rate: 33/s
Published total: 3190, message rate: 33/s
Published total: 3222, message rate: 32/s
Published total: 3255, message rate: 33/s
Published total: 3287, message rate: 32/s
Published total: 3320, message rate: 33/s
Published total: 3352, message rate: 32/s
Published total: 3385, message rate: 33/s
Published total: 3418, message rate: 33/s
Published total: 3450, message rate: 32/s
Published total: 3483, message rate: 33/s
Published total: 3515, message rate: 32/s
Published total: 3548, message rate: 33/s
Published total: 3580, message rate: 32/s
Published total: 3613, message rate: 33/s
Published total: 3646, message rate: 33/s
Published total: 3678, message rate: 32/s
Published total: 3711, message rate: 33/s
Published total: 3743, message rate: 32/s
Published total: 3776, message rate: 33/s
Published total: 3808, message rate: 32/s
Published total: 3841, message rate: 33/s
Published total: 3873, message rate: 32/s
Published total: 3906, message rate: 33/s
Published total: 3938, message rate: 32/s
Published total: 3971, message rate: 33/s
Published total: 4003, message rate: 32/s
Published total: 4036, message rate: 33/s
Published total: 4068, message rate: 32/s
Published total: 4101, message rate: 33/s
Published total: 4133, message rate: 32/s
Published total: 4166, message rate: 33/s
Published total: 4198, message rate: 32/s
Published total: 4231, message rate: 33/s
Published total: 4263, message rate: 32/s
Published total: 4296, message rate: 33/s
Published total: 4328, message rate: 32/s
Published total: 4361, message rate: 33/s
Published total: 4393, message rate: 32/s
Published total: 4426, message rate: 33/s
Published total: 4458, message rate: 32/s
Published total: 4491, message rate: 33/s
Published total: 4523, message rate: 32/s
Published total: 4556, message rate: 33/s
Published total: 4588, message rate: 32/s
Published total: 4621, message rate: 33/s
Published total: 4653, message rate: 32/s
Published total: 4686, message rate: 33/s
Published total: 4718, message rate: 32/s
Published total: 4751, message rate: 33/s
Published total: 4783, message rate: 32/s
Published total: 4816, message rate: 33/s
Published total: 4849, message rate: 33/s
Published total: 4881, message rate: 32/s
Published total: 4914, message rate: 33/s
Published total: 4946, message rate: 32/s
Published total: 4979, message rate: 33/s
Published total: 5000, message rate: 21/s
