"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","87.992","0"
"2","87.992","0.591"
"3","87.992","1.726"
"4","87.992","1.602"
"5","87.992","1.165"
"6","87.992","1.359"
"7","87.992","1.381"
"8","87.992","1.552"
"9","87.992","1.752"
"10","87.992","1.581"
"11","87.992","1.557"
"12","87.992","0.583"
"13","87.992","1.164"
"14","87.992","1.584"
"15","87.992","1.36"
"16","87.992","1.36"
"17","87.992","1.579"
"18","87.992","1.747"
"19","87.992","0.583"
"20","87.992","1.576"
"21","87.992","1.359"
"22","87.992","1.381"
"23","87.992","1.358"
"24","87.992","1.168"
"25","87.992","1.383"
"26","87.992","2.135"
"27","87.992","1.36"
"28","87.992","1.58"
"29","87.992","1.336"
"30","87.992","1.978"
"31","87.992","1.75"
"32","87.992","1.98"
"33","87.992","1.958"
"34","87.992","1.753"
"35","87.992","1.951"
"36","87.992","1.563"
"37","87.992","1.755"
"38","87.992","1.558"
"39","87.992","1.349"
"40","87.992","1.757"
"41","87.992","2.144"
"42","87.992","1.947"
"43","87.992","1.585"
"44","87.992","2.152"
"45","87.992","1.752"
"46","87.992","1.755"
"47","87.992","1.762"
"48","87.992","1.782"
"49","87.992","1.948"
"50","87.992","1.562"
"51","87.992","1.762"
"52","87.992","1.753"
"53","87.992","1.948"
"54","87.992","2.696"
"55","87.992","2.182"
"56","87.992","2.143"
"57","87.992","1.153"
"58","87.992","1.779"
"59","87.945","2.143"
"60","87.945","1.583"
"61","87.945","1.565"
"62","87.945","2.138"
"63","87.945","1.544"
"64","87.945","2.18"
"65","87.945","1.565"
"66","87.945","1.731"
"67","87.945","1.785"
"68","87.945","1.759"
"69","87.945","2.141"
"70","87.945","1.17"
"71","87.945","1.731"
"72","87.945","1.784"
"73","87.945","1.155"
"74","87.945","1.983"
"75","87.945","1.534"
"76","87.945","1.76"
"77","87.945","2.179"
"78","87.945","1.727"
"79","87.945","1.389"
"80","87.945","1.96"
"81","87.945","2.301"
"82","87.945","1.387"
"83","87.945","2.147"
"84","87.945","1.757"
"85","87.945","2.172"
"86","87.945","1.95"
"87","87.945","1.73"
"88","87.945","2.149"
"89","87.945","2.146"
"90","87.945","1.75"
"91","87.945","1.585"
"92","87.945","1.952"
"93","87.945","1.567"
"94","87.945","1.752"
"95","87.945","1.558"
"96","87.945","1.782"
"97","87.945","2.148"
"98","87.945","1.56"
"99","87.945","1.759"
"100","87.945","1.954"
"101","87.945","2.529"
"102","87.945","1.925"
"103","87.945","1.952"
"104","87.945","2.538"
"105","87.945","2.143"
"106","87.945","1.586"
"107","87.945","2.149"
"108","87.945","1.365"
"109","86.355","1.773"
"110","86.355","1.946"
"111","86.355","1.342"
"112","86.355","1.384"
"113","86.355","1.186"
"114","86.355","1.361"
"115","86.355","1.538"
"116","86.355","1.579"
"117","86.355","1.577"
"118","86.355","1.946"
"119","86.355","1.727"
"120","86.355","2.175"
"121","86.355","1.576"
"122","86.355","2.14"
"123","86.355","1.943"
"124","86.355","1.38"
"125","86.355","1.556"
"126","86.355","1.362"
"127","86.355","1.379"
"128","86.355","1.365"
"129","86.355","1.363"
"130","86.355","1.727"
"131","86.355","1.584"
"132","86.355","1.95"
"133","86.355","1.386"
"134","86.355","1.364"
"135","86.355","1.755"
"136","86.355","0.971"
"137","86.355","1.774"
"138","86.355","1.554"
"139","86.355","0.575"
"140","86.355","1.382"
"141","86.355","1.779"
"142","86.355","1.553"
"143","86.355","1.753"
"144","86.355","1.382"
"145","86.355","1.166"
"146","86.355","0.959"
"147","86.355","1.186"
"148","86.355","0.789"
"149","86.355","1.554"
"150","86.355","0.779"
"151","86.355","1.775"
"152","86.355","1.165"
"153","86.355","1.94"
"154","86.355","0.988"
"155","86.355","1.553"
"156","86.355","0.586"
"157","86.355","0"
