❯  Starting publish benchmark, connections: 10, req interval: 10ms, message interval: 20ms
...  [0/10] - Connecting...
√  [1/10] - Connected
...  [1/10] - Connecting...
√  [2/10] - Connected
...  [2/10] - Connecting...
√  [3/10] - Connected
...  [3/10] - Connecting...
√  [4/10] - Connected
...  [4/10] - Connecting...
√  [5/10] - Connected
...  [5/10] - Connecting...
√  [6/10] - Connected
...  [6/10] - Connecting...
√  [7/10] - Connected
...  [7/10] - Connecting...
√  [8/10] - Connected
...  [8/10] - Connecting...
√  [9/10] - Connected
...  [9/10] - Connecting...
√  [10/10] - Connected
√  Created 10 connections in 0.153s
Published total: 335, message rate: 335/s
Published total: 658, message rate: 323/s
Published total: 988, message rate: 330/s
Published total: 1308, message rate: 320/s
Published total: 1638, message rate: 330/s
Published total: 1968, message rate: 330/s
Published total: 2298, message rate: 330/s
Published total: 2628, message rate: 330/s
Published total: 2958, message rate: 330/s
Published total: 3278, message rate: 320/s
Published total: 3608, message rate: 330/s
Published total: 3928, message rate: 320/s
Published total: 4258, message rate: 330/s
Published total: 4578, message rate: 320/s
Published total: 4908, message rate: 330/s
Published total: 5228, message rate: 320/s
Published total: 5558, message rate: 330/s
Published total: 5888, message rate: 330/s
Published total: 6208, message rate: 320/s
Published total: 6538, message rate: 330/s
Published total: 6858, message rate: 320/s
Published total: 7188, message rate: 330/s
Published total: 7508, message rate: 320/s
Published total: 7838, message rate: 330/s
Published total: 8158, message rate: 320/s
Published total: 8488, message rate: 330/s
Published total: 8808, message rate: 320/s
Published total: 9138, message rate: 330/s
Published total: 9458, message rate: 320/s
Published total: 9788, message rate: 330/s
Published total: 10108, message rate: 320/s
Published total: 10438, message rate: 330/s
Published total: 10758, message rate: 320/s
Published total: 11088, message rate: 330/s
Published total: 11408, message rate: 320/s
Published total: 11738, message rate: 330/s
Published total: 12058, message rate: 320/s
Published total: 12388, message rate: 330/s
Published total: 12708, message rate: 320/s
Published total: 13038, message rate: 330/s
Published total: 13358, message rate: 320/s
Published total: 13688, message rate: 330/s
Published total: 14008, message rate: 320/s
Published total: 14338, message rate: 330/s
Published total: 14668, message rate: 330/s
Published total: 14988, message rate: 320/s
Published total: 15318, message rate: 330/s
Published total: 15638, message rate: 320/s
Published total: 15968, message rate: 330/s
Published total: 16288, message rate: 320/s
Published total: 16618, message rate: 330/s
Published total: 16938, message rate: 320/s
Published total: 17268, message rate: 330/s
Published total: 17588, message rate: 320/s
Published total: 17918, message rate: 330/s
Published total: 18238, message rate: 320/s
Published total: 18568, message rate: 330/s
Published total: 18888, message rate: 320/s
Published total: 19218, message rate: 330/s
Published total: 19538, message rate: 320/s
Published total: 19868, message rate: 330/s
Published total: 20188, message rate: 320/s
Published total: 20518, message rate: 330/s
Published total: 20838, message rate: 320/s
Published total: 21168, message rate: 330/s
Published total: 21498, message rate: 330/s
Published total: 21828, message rate: 330/s
Published total: 22148, message rate: 320/s
Published total: 22478, message rate: 330/s
Published total: 22808, message rate: 330/s
Published total: 23128, message rate: 320/s
Published total: 23458, message rate: 330/s
Published total: 23788, message rate: 330/s
Published total: 24108, message rate: 320/s
Published total: 24438, message rate: 330/s
Published total: 24758, message rate: 320/s
Published total: 25088, message rate: 330/s
Published total: 25418, message rate: 330/s
Published total: 25738, message rate: 320/s
Published total: 26068, message rate: 330/s
Published total: 26388, message rate: 320/s
Published total: 26718, message rate: 330/s
Published total: 27048, message rate: 330/s
