❯  Starting publish benchmark, connections: 1, req interval: 10ms, message interval: 20ms
...  [0/1] - Connecting...
√  [1/1] - Connected
√  Created 1 connections in 0.015s
Published total: 32, message rate: 32/s
Published total: 65, message rate: 33/s
Published total: 97, message rate: 32/s
Published total: 130, message rate: 33/s
Published total: 163, message rate: 33/s
Published total: 195, message rate: 32/s
Published total: 228, message rate: 33/s
Published total: 260, message rate: 32/s
Published total: 293, message rate: 33/s
Published total: 325, message rate: 32/s
Published total: 358, message rate: 33/s
Published total: 390, message rate: 32/s
Published total: 423, message rate: 33/s
Published total: 455, message rate: 32/s
Published total: 488, message rate: 33/s
Published total: 520, message rate: 32/s
Published total: 554, message rate: 34/s
Published total: 587, message rate: 33/s
Published total: 620, message rate: 33/s
Published total: 652, message rate: 32/s
Published total: 685, message rate: 33/s
Published total: 717, message rate: 32/s
Published total: 750, message rate: 33/s
Published total: 782, message rate: 32/s
Published total: 815, message rate: 33/s
Published total: 847, message rate: 32/s
Published total: 880, message rate: 33/s
Published total: 912, message rate: 32/s
Published total: 945, message rate: 33/s
Published total: 977, message rate: 32/s
Published total: 1010, message rate: 33/s
Published total: 1042, message rate: 32/s
Published total: 1075, message rate: 33/s
Published total: 1108, message rate: 33/s
Published total: 1140, message rate: 32/s
Published total: 1173, message rate: 33/s
Published total: 1205, message rate: 32/s
Published total: 1238, message rate: 33/s
Published total: 1270, message rate: 32/s
Published total: 1303, message rate: 33/s
Published total: 1335, message rate: 32/s
Published total: 1368, message rate: 33/s
Published total: 1400, message rate: 32/s
Published total: 1433, message rate: 33/s
Published total: 1466, message rate: 33/s
Published total: 1498, message rate: 32/s
Published total: 1531, message rate: 33/s
Published total: 1564, message rate: 33/s
Published total: 1596, message rate: 32/s
Published total: 1629, message rate: 33/s
Published total: 1661, message rate: 32/s
Published total: 1694, message rate: 33/s
Published total: 1726, message rate: 32/s
Published total: 1759, message rate: 33/s
Published total: 1791, message rate: 32/s
Published total: 1824, message rate: 33/s
Published total: 1856, message rate: 32/s
Published total: 1889, message rate: 33/s
Published total: 1921, message rate: 32/s
Published total: 1954, message rate: 33/s
Published total: 1986, message rate: 32/s
Published total: 2019, message rate: 33/s
Published total: 2051, message rate: 32/s
Published total: 2084, message rate: 33/s
Published total: 2117, message rate: 33/s
Published total: 2149, message rate: 32/s
Published total: 2182, message rate: 33/s
Published total: 2214, message rate: 32/s
Published total: 2247, message rate: 33/s
Published total: 2279, message rate: 32/s
Published total: 2312, message rate: 33/s
Published total: 2344, message rate: 32/s
Published total: 2377, message rate: 33/s
Published total: 2409, message rate: 32/s
Published total: 2441, message rate: 32/s
Published total: 2474, message rate: 33/s
Published total: 2506, message rate: 32/s
Published total: 2539, message rate: 33/s
Published total: 2571, message rate: 32/s
Published total: 2604, message rate: 33/s
Published total: 2636, message rate: 32/s
Published total: 2669, message rate: 33/s
Published total: 2701, message rate: 32/s
Published total: 2734, message rate: 33/s
Published total: 2766, message rate: 32/s
Published total: 2799, message rate: 33/s
Published total: 2831, message rate: 32/s
Published total: 2864, message rate: 33/s
Published total: 2896, message rate: 32/s
Published total: 2929, message rate: 33/s
Published total: 2961, message rate: 32/s
Published total: 2994, message rate: 33/s
Published total: 3026, message rate: 32/s
Published total: 3059, message rate: 33/s
Published total: 3091, message rate: 32/s
Published total: 3124, message rate: 33/s
Published total: 3156, message rate: 32/s
Published total: 3189, message rate: 33/s
Published total: 3222, message rate: 33/s
Published total: 3255, message rate: 33/s
Published total: 3287, message rate: 32/s
Published total: 3320, message rate: 33/s
Published total: 3352, message rate: 32/s
Published total: 3385, message rate: 33/s
Published total: 3418, message rate: 33/s
Published total: 3450, message rate: 32/s
Published total: 3483, message rate: 33/s
Published total: 3515, message rate: 32/s
Published total: 3548, message rate: 33/s
Published total: 3581, message rate: 33/s
Published total: 3614, message rate: 33/s
Published total: 3647, message rate: 33/s
Published total: 3680, message rate: 33/s
Published total: 3713, message rate: 33/s
Published total: 3746, message rate: 33/s
Published total: 3778, message rate: 32/s
Published total: 3811, message rate: 33/s
Published total: 3844, message rate: 33/s
Published total: 3876, message rate: 32/s
Published total: 3909, message rate: 33/s
Published total: 3941, message rate: 32/s
Published total: 3974, message rate: 33/s
Published total: 4007, message rate: 33/s
Published total: 4040, message rate: 33/s
Published total: 4073, message rate: 33/s
Published total: 4106, message rate: 33/s
Published total: 4139, message rate: 33/s
Published total: 4172, message rate: 33/s
Published total: 4204, message rate: 32/s
Published total: 4237, message rate: 33/s
Published total: 4270, message rate: 33/s
Published total: 4303, message rate: 33/s
Published total: 4335, message rate: 32/s
Published total: 4368, message rate: 33/s
Published total: 4401, message rate: 33/s
Published total: 4434, message rate: 33/s
Published total: 4467, message rate: 33/s
Published total: 4500, message rate: 33/s
Published total: 4532, message rate: 32/s
Published total: 4565, message rate: 33/s
Published total: 4597, message rate: 32/s
Published total: 4630, message rate: 33/s
Published total: 4662, message rate: 32/s
Published total: 4695, message rate: 33/s
Published total: 4727, message rate: 32/s
Published total: 4760, message rate: 33/s
Published total: 4793, message rate: 33/s
Published total: 4826, message rate: 33/s
Published total: 4859, message rate: 33/s
Published total: 4892, message rate: 33/s
Published total: 4925, message rate: 33/s
Published total: 4957, message rate: 32/s
Published total: 4990, message rate: 33/s
Published total: 5000, message rate: 10/s
