"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","721.109","0.386"
"2","721.109","0.39"
"3","721.109","0.987"
"4","721.109","1.155"
"5","721.109","0.595"
"6","721.109","0.193"
"7","721.109","1.388"
"8","721.109","0.39"
"9","721.109","1.345"
"10","721.109","0.78"
"11","721.109","1.169"
"12","721.109","1.189"
"13","721.109","0.975"
"14","721.109","0.586"
"15","721.109","1.751"
"16","721.109","1.189"
"17","721.109","0.585"
"18","721.109","1.558"
"19","721.109","0.961"
"20","721.109","0.587"
"21","721.109","1.757"
"22","721.109","0.975"
"23","721.109","0.792"
"24","721.109","0.78"
"25","721.109","0"
"26","721.109","1.368"
"27","721.109","1.386"
"28","721.109","1.365"
"29","721.109","0.973"
"30","721.109","0.193"
"31","721.109","1.761"
"32","721.109","1.585"
"33","721.109","1.155"
"34","721.109","1.388"
"35","721.109","1.731"
"36","721.109","1.364"
"37","721.109","0.978"
"38","721.109","1.173"
"39","721.109","0.389"
"40","721.109","0.198"
"41","721.109","0.586"
"42","721.109","0.195"
"43","721.109","0.779"
"44","721.109","1.367"
"45","721.109","0.779"
"46","721.109","1.384"
"47","721.109","0.771"
"48","721.109","0.791"
"49","721.109","0.959"
"50","721.109","0.595"
"51","721.109","0.583"
"52","721.109","0.396"
"53","721.109","0.584"
"54","721.109","1.149"
"55","721.109","0.391"
"56","721.109","0.586"
"57","721.109","0.976"
"58","721.109","0.587"
"59","721.109","0.587"
"60","721.109","0.585"
"61","721.109","0.389"
"62","721.109","0.992"
"63","721.109","0.39"
"64","721.109","0.779"
"65","721.109","0.978"
"66","721.109","0"
"67","721.109","1.172"
"68","721.109","0.99"
"69","721.109","0.964"
"70","721.109","1.58"
"71","721.109","0.96"
"72","721.109","0.78"
"73","721.109","0.782"
"74","721.109","0.592"
"75","721.109","0.391"
"76","721.109","0"
"77","721.109","1.169"
"78","721.109","0.195"
"79","721.109","0.396"
"80","721.109","0.974"
"81","721.109","0.768"
"82","721.109","0.584"
"83","721.109","0.393"
"84","721.109","1.175"
"85","667.613","1.383"
"86","667.613","0.962"
"87","630.367","0.574"
"88","411.797","1.191"
"89","302.551","0.791"
"90","302.578","0.781"
"91","302.613","0.195"
"92","247.113","0.783"
"93","247.16","0.583"
"94","247.203","1.188"
"95","211.211","0.768"
"96","211.246","0.977"
"97","211.297","0.396"
"98","211.344","0"
"99","211.383","0.977"
"100","211.43","0.585"
"101","211.469","0.989"
"102","211.512","0.77"
"103","211.555","0.587"
"104","211.594","0.783"
"105","211.645","0.39"
"106","211.695","0.991"
"107","211.746","0.973"
"108","211.797","0.577"
"109","211.84","1.173"
"110","211.871","0.976"
"111","211.902","0.783"
"112","211.93","0.795"
"113","211.973","0.583"
"114","212.012","0.771"
"115","212.043","0.594"
"116","212.094","0.767"
"117","212.137","0.594"
"118","212.18","0.587"
"119","212.207","0.584"
"120","212.254","0.195"
"121","212.297","0.593"
"122","212.34","1.171"
"123","212.387","1.169"
"124","212.426","0.577"
"125","212.469","0.78"
"126","212.52","0.585"
"127","212.555","0.198"
"128","212.594","1.169"
"129","212.621","0.195"
"130","212.648","0.585"
"131","212.695","1.56"
"132","212.742","0.787"
"133","212.777","0.587"
"134","212.816","0.575"
"135","212.863","1.979"
"136","212.918","0"
"137","212.957","0.584"
"138","212.996","0.585"
"139","213.023","0.198"
"140","213.059","0.975"
"141","213.102","0.767"
"142","213.156","0.783"
"143","213.195","0.195"
"144","213.227","0.781"
"145","213.266","0.391"
"146","213.281","0.781"
"147","213.316","0.974"
"148","213.359","0.989"
"149","213.406","0.195"
"150","213.457","0.198"
"151","213.516","0.768"
"152","213.574","0.198"
"153","213.621","0.974"
"154","213.672","0.96"
"155","213.719","0.791"
"156","213.758","0.389"
"157","213.793","0.195"
